,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,Ywhag,S100a8,Zwint,S100a8,Fabp4,Tcap,Shisa5,Cnp,Acly,Mal,Slc44a3,Vmn2r57,Apoe,Klf2,Nbl1,H2-Aa,Mafb,Myh4,Mpzl2,Drp2
11,Atp1b1,Ifng,Uchl1,Car5a,Ngp,Mb,Cd37,Sirt2,Snap25,Hapln2,Gsg1,Rdh1,Fgfr3,Rgs5,Dcn,Dcn,H2-Aa,Cldn19,Aox3,Sema3b
12,Cacna2d1,Fbxo47,Nap1l5,Hipk4,Camp,Myh2,Cd19,Car2,Vgf,Klk6,Cd300lb,Hoxa13,Slc7a10,Esam,Fn1,C3,Lyz2,Aldh1a2,Lyz2,Col4a1
13,Eno2,Mindy4b-ps,Kcnc3,Sstr4,Alas2,Myh1,Trac,Tubb4a,Cplx1,Aatk,Nek2,Igkv1-122,Ywhag,Cald1,Vtn,Cfh,Cd9,Phf19,Snai1,Hspg2
14,Uchl1,Hspb1,Nefm,Hspa1a,Ccl22,Ttn,Swap70,Atp1b2,Thy1,Car2,S100a8,Knl1,Slc6a1,Cavin1,Igfbp6,Col4a1,Gpnmb,Wnt6,Pmp2,Vim
15,Ncdn,Ces2g,Vsnl1,Pih1d2,Acad12,Hspb6,H2-Ob,Trf,Vamp1,Ugt8a,Sp9,Dtl,Cplx1,Ltbp4,Apod,Bgn,Trem2,Dcn,Echdc3,Cldn19
16,Sncb,Slc26a7,Eno2,S100a9,Kif4,Apobec2,Fcer2a,Mal,Nat8l,Mog,Cdc20,Ctse,Nap1l5,Ptprb,Foxd1,Apod,Id4,Foxd1,Dhh,Dusp15
17,Baiap3,Nrk,Thy1,Foxm1,Cnn1,Fhl1,Ptprc,Aatk,Tppp3,Tubb4a,Has2,Ltf,Atp1a3,Itm2a,Slc6a20a,Vim,Ctsd,Slc6a12,Flnc,Col1a1
18,Begain,Olfr267,Syp,Fam167a,Slc4a1,Obscn,Arhgef1,Mog,Ndrg4,Ddr1,Cfap52,Mia,Sncb,Fn1,Bgn,Igkc,Igfbp7,Dhh,Troap,Ogn
19,Penk,Ms4a4a,Nefh,Olfr78,Stap1,Actn2,Tbc1d10c,Kndc1,Prph,Sirt2,Pth2r,Acad12,Htra1,Sox17,Sned1,Vtn,Csf3r,Pmp2,Dlgap5,Cd9
20,Eef1a2,Vmn2r57,Basp1,Tnfaip8l3,Ighm,Pgam2,Cd79b,Nfasc,Eef1a2,Tmeff2,Troap,Pbk,Snhg11,Flt1,Pcolce,H2-K1,Unc93b1,Clec12b,Adam33,Dcn
21,Ahi1,Cd300lg,Ndrg4,Il2ra,H2-Q1,Myl2,Syk,Ddr1,Stmn3,Efnb3,Alpk3,Ribc1,Eef1a2,Hspa12b,Ogn,Maf,Laptm5,Camp,Ccl17,Col3a1
22,Dnm1,Colec10,Vamp1,Mroh3,Il19,Des,Arhgap45,Ugt8a,Spock2,Kndc1,Zmynd10,A3galt2,Nat8l,Macf1,Col6a2,Aebp1,Spp1,Slco2a1,Top2a,Hspa12a
23,Sst,Armc4,Ncdn,Gpr179,Plin1,Car3,Lyz2,Nefh,Kcnc3,Nkx6-2,Hcrtr2,Kif4,Atp1b1,Id1,Aldh1a2,C1qa,H2-K1,Ctse,Mmp13,Ncmap
24,Syp,Camp,Stx1b,Gpr174,Fcnb,Tnnt1,Stk17b,Tmeff2,Kcnk9,Sec14l5,Mmp25,AI182371,Spock2,Pcp4l1,Thbs1,H2-Q6,Cyth4,Ltf,Ctsw,Pmp2
25,Kifc2,Dtl,Dnm1,Ak8,Sh3rf2,Fabp3,Arhgap30,Sez6l2,Atp1a3,Sox10,Myh7,Epcam,Zwint,Tm4sf1,Zic2,Igfbp2,Inpp5d,Aoc3,Il19,Arhgap19
26,Peg3,Casr,Map1b,Itgax,Lmod2,Myh4,Cd79a,Hapln2,Ccdc92,Gjc2,S100a9,AI987944,Stx1b,Myh11,Islr,Ighm,A2m,Matn2,Igha,Art3
27,Camkv,Glycam1,Tspyl4,Gpr182,Sbspon,Ckmt2,H2-Q6,Efnb3,Ahnak2,C3,Matn4,Cdc6,Tril,Rbpms,Ecrg4,Arhgap45,Rasal3,Ngp,Hist1h1b,Maf
28,Cbarp,Ltf,Aldoc,Myh4,Ubash3a,Mybpc1,Ikzf3,Nefm,Eno2,Tmem63a,Dnali1,Ighg2b,Nefh,Slc7a5,Cyp26b1,Trac,Msn,Ms4a6c,Pcsk4,Itgb4
29,Tspoap1,Dapl1,Spock2,Slc6a12,Gfra3,Mylk2,Ptpn6,Mt2,Atp1a1,Nfasc,Dnah7b,Uts2b,Macf1,Tpm2,Bmp6,Ahnak,Tapbp,S100a8,Mgl2,Sox10
30,Rasgrf1,Ctse,Stmn3,Hoxc13,Slc22a6,Cox8b,Ciita,Map1b,Anxa6,Ppp1r16b,Myoc,Utf1,Hcn2,Flna,Hbb-bs,Unc93b1,Itgam,Lmntd1,Rgs14,Ddn
31,Rtn1,Zbtb42,Peg3,Csf2rb,Spib,Hbb-bs,Gimap4,Apod,Syp,Cntn2,Nms,Chodl,Gpam,Mcl1,Foxc1,Ly6e,Itgb2,Hipk4,Wif1,Cdkn1a
32,Podxl2,Folr1,Pdcd7,Epsti1,Cdkn3,Lmod2,Ly6e,Ywhag,Rab3a,Carns1,Ect2,Kcnh8,Slc38a3,Dock6,Itih2,Arhgap30,Plek,Sbspon,Gpr182,Col5a1
33,Bex2,Clhc1,Rab3a,Stra6,Tex29,Jph2,Siglecg,Sox10,Zwint,Cd9,Dnah1,Cd7,Nefm,Tagln,Thbd,Man1a,Arhgap45,Has2,Xirp1,Vat1l
34,Tspyl4,Cd209c,Syt2,Itgae,Ccr4,Tnnc1,Acap1,Cplx1,Epb41l3,Fa2h,Cfap47,Lmod1,Vamp1,Slco1a4,Slc6a13,Shisa5,Ucp2,Pi16,Ubash3a,Emid1
35,Gria2,Tgtp1,mt-Cytb,Spib,Cd163l1,Myo18b,Zfp36,Bcan,Cadm3,Sema4d,Ccl4,Echdc3,Map1b,Syne1,Comp,Ptprc,Trf,S100a9,Slc6a12,Mlip
36,Celf5,Vwf,Scn1b,Ifi205,Trbv13-1,Cox6a2,Cd52,Cd9,Fxyd7,Myrf,Col20a1,Ngp,Paqr6,Acta2,Col6a1,Syk,Lpl,Fam129c,Ltf,Gldn
37,Spock2,Zfp982,Cend1,Cyp26b1,Ahsg,Map3k20,Ptk2b,Car14,Syt2,Tspan2,Snai1,Gpr179,Itih3,Smtn,Serpinh1,Trbc2,Fyb,Ch25h,Ccr4,Sptbn5
38,Dbn1,A3galt2,Scn8a,H2-Q1,Has1,Alpk3,Unc93b1,Tspan2,Vat1l,Plekhh1,Dnah5,Dok2,Ptch1,Eng,Cfh,Ptpn6,Ptpn6,Aox3,Unc13d,Ugt8a
39,Ndn,Esr2,Scn4b,Cd5l,Mef2b,Hba-a2,Map4k1,Gjc3,Scn1b,Tppp3,H2-Q1,Csf2rb,Ncdn,Myl9,Cd74,Tapbp,Ccdc3,Cnr2,Prkag3,Sncg
40,Kcnt1,Mmp25,Snrpn,Mmp13,Cyb5r2,Xirp2,Tnfrsf13c,Ppp1r16b,Cend1,C1qa,Dnah2,S100a8,Kcnc3,Ly6e,Col6a3,C4b,Ly6e,Nmur2,Mef2b,Ston1
41,Scg2,Gtse1,Atp6v1g2,Chrnb4,Artn,Synpo2,Lrmp,Sgk1,S100a10,Opalin,Cxcr3,Pcsk4,Eno2,Vtn,Lbp,Gpnmb,Irf8,Tgm1,Ahsg,Slc36a2
42,Agap2,Cdc6,Coro6,Clec18a,Art1,Lpl,Msn,Gpr37l1,Fbxo2,Plxnb3,Ttc16,H2-Q1,Syne1,Rgs4,Slc6a12,Pcolce,Ctsh,Jchain,Wnt2b,Sbspon
43,Ndrg4,Gsg1,Haghl,Ifng,Wnt2b,Art1,Gimap8,Clmn,Nsg1,Car14,Mlf1,Chrnb4,Car2,Acvrl1,Igfbp7,Serping1,C1qc,Calcb,Sec1,Sema6c
44,Rims1,Samd13,Stxbp1,Tmprss2,Phox2a,Sypl2,Rasal3,Cntn2,Kcnab2,Pllp,Mmp13,Mmp13,Vsnl1,Lama5,Igf1,Il21r,Bin2,Hbb-bt,Kif4,Nid1
45,Car11,Samd3,Epb41l3,Tbata,Epcam,Chrne,Cd72,Olig2,Msn,Mt2,Chrnb4,Cd5l,Ccdc85a,Slc38a3,Serping1,Cd37,Adap2,Mpzl2,Slc24a5,Mal
46,Ptprs,Fabp4,Ptprn,Gnb3,Dpt,Myh7,Sept1,Lgi3,Disp2,Vim,Cd5l,Gp1bb,Uchl1,Mgp,Mpzl2,Tbc1d10c,Rasa4,Nek5,Tmc8,Col5a3
47,Camk2b,Dusp5,Rasgrf1,S100a2,Samd3,Csrp3,Akna,Snap25,Htra1,Tmod1,Ifng,Fibcd1,Pltp,H2-K1,Prg4,Ptk2b,Apoc1,Twist1,Cfap57,Lama4
48,Camk2a,Htr5b,Rap1gap,Il6,Uts2b,Myom1,Traf3ip3,Opalin,Scn4b,Tmem88b,Klhl40,Fank1,Rapgef3,Foxc1,Col5a1,Ciita,Nckap1l,Wdr49,Hspa1b,Dhh
49,Lrp1b,Cfap45,Hcn2,Angptl7,Dthd1,Fabp4,Ltb,Tmem63a,Ywhah,Col9a3,Tbata,Klhl40,Sirt2,Sox18,Pi16,Ighd,Prkcd,Gkn3,Il1b,Plekhg2
50,Haghl,C1s1,Cabp1,Klhl40,Pde6b,Atp1b4,B4galnt1,Nkx6-2,Hspb8,Id4,Klrb1a,Plin1,Slc25a18,Rasgrp2,Ahnak,Sned1,Cd52,Bmp6,Nek2,Serpinh1
51,Cacna1b,Cd7,Clstn3,Il19,Angptl1,Pdlim3,Dgka,Gjc2,Ckmt1,Tprn,Plin1,Tmprss2,Tspyl4,Map4k2,Lrrk1,Slc1a5,Sh3bp2,Gtse1,Foxm1,Itpr3
52,Snrpn,H2-Q1,Sez6l2,Plin1,Gzma,Mlf1,Pax5,Tmod1,Stx1b,Hcn2,Clec18a,Angptl7,Slc2a1,Apcdd1,Wnt6,Coro1a,Lgals3,Baiap2l1,S100a8,S100a4
53,Unc13a,Nek2,Kifc2,Klrb1a,Igha,Prr33,Malt1,Plxnb3,Ube2ql1,Gjb1,S100a2,Klrb1a,Ndrg4,Tbx1,Gjb2,Serpinh1,H2-DMa,Kif6,Rhbdl2,Fxyd6
54,Pnmal2,Il15,Bex2,Itgb1bp2,Cd7,Trim55,Grk6,Plekhh1,Cabp1,Cd82,Tmprss2,Il19,Thy1,Pecam1,Lox,Hspg2,Irf5,H2-Q1,Clec10a,Nr2f2
55,Arpp21,Mmp13,Klc2,Tmem74bos,Cd2,Hbb-bt,Slc1a5,Myrf,Rtn1,Plekha1,Angptl7,Ifng,Id4,Zic2,Htra3,Stk17b,Plau,Cd5l,Nsl1,Igfbp6
56,Dmtn,Chrnb4,Kcnab2,Fam178b,Tnfsf9,Itgb1bp2,Slamf6,Pllp,Calca,Sez6l2,Il6,Il6,Rph3a,Bcam,Slc22a6,Ccl19,H2-Q6,Chrnb4,Igf1,Matn2
57,Grm7,Cd5l,Ank1,Nhlh1,Echdc3,Cacng6,Itgal,Htra1,Slc5a7,Sgk1,Il19,Clec18a,Gpld1,Mylk,Olfml2a,Rasal3,Gpsm3,Mmp13,Tgm1,Col28a1
58,Sept5,Ccl4,Sh3gl2,Alox12b,Nek2,Tacc2,Apobec3,Slc6a11,Chga,Cdk18,Gnb3,Tbata,Sox9,Nnat,Bmp4,Laptm5,Dock2,Il19,S100a9,Egfl8
59,Adgrb1,Angptl7,Vgf,Odf3,Mgl2,Rbm24,Trbc2,Slc7a10,Sez6l2,Sox2,Cfap73,Gnb3,Cabp7,Serpinh1,Postn,Nid1,Tlr2,Gnb3,Hydin,Pcolce
60,Rab3c,Klrb1a,Rtn1,Prr33,Il1rapl2,Pi16,Arhgdib,Slc6a1,Tubb4a,Plin3,Daw1,S100a2,Rgs5,Abcb1a,Gpc3,Ifi30,Myoc,Klrb1a,Mylk2,Il16
61,Psd,Gnb3,Nsg1,Fbxo47,Tctex1d4,Klhl40,Sipa1,Serinc5,Scn8a,Olig2,Rhd,Piwil2,Kcnab2,Ccm2l,Hba-a2,Fmod,Sipa1,Tbata,Perp,Fa2h
62,Stx1b,Il6,Tspoap1,Pabpc1l,Gpr174,Cd300lg,Sell,Il33,Ptprn,Ccdc3,Kcne2,Henmt1,Atp6v1g2,Map3k20,Nr2f2,Pltp,Mcl1,Tmprss2,Calml4,Il34
63,Gpr162,Tbata,Ina,Fcnb,Igfbp6,Wnt16,Rcsd1,Sox2,Reep1,Lgi3,Olfr273,Alox12b,Adgrb1,Ucp2,Twist1,Mafb,Nlrc5,Plin1,Gpnmb,Pllp
64,Rap1gap,Clec18a,Atp1b2,Aldh3b2,Cd28,Prkag3,H2-Oa,Tmem88b,Snrpn,Gjc3,Odf3,Kcne2,Scrt1,Actn1,Col8a2,Tyrobp,Card9,Il6,Dusp5,Carns1
65,Thy1,Il19,Got1,Rhd,Myocd,Ngp,Ier5,Sema4d,Bex2,Enpp6,Pabpc1l,Krt18,Mdh1,Ccdc85a,Baiap2l1,Zic2,Arhgap30,Angptl7,Col28a1,Erbb3
66,Cacna1g,S100a2,Kcnc1,Krt18,Chrnb4,Flnc,Mcl1,Fa2h,Sult4a1,Cdkn1c,Henmt1,Itgb1bp2,Prodh,Eogt,Prkag3,Nbl1,Apbb1ip,Clec18a,Thbs2,Afap1l2
67,Tmem130,Klhl40,Ckmt1,Trbv12-2,Mmp13,Asb14,Dennd1c,Col9a3,Mdh1,A2m,Nhlh1,Prr33,Snrpn,Tinagl1,Arhgap29,Cd52,Ncf1,S100a2,Nmur2,Egr2
68,Tmem191c,Tmprss2,Ubap1l,Kcne2,Cd5l,Pitx2,Pou2af1,Vamp1,Nap1l5,Clmn,Igkv8-30,Odf3,Peg3,Kank3,Lmntd1,Sipa1,Tap1,Ifng,Cfap45,Col15a1
69,Ccdc85a,Ccdc113,Podxl2,Olfr273,Ms4a4a,Angptl1,Col1a2,Sec14l5,Rgs7bp,Tmem125,Alox12b,Fcnb,Car14,Rarres2,Snai1,Lrrk1,Apod,Klhl40,Tekt1,Efcc1
70,Gprasp2,Lmntd1,Ndn,Henmt1,Clec10a,S100a9,Ucp2,Plekha1,Kcnab1,Hs3st1,Aldh3b2,Aldh3b2,Pnkd,Msn,Cemip,Col18a1,Coro1a,Henmt1,Rfx2,Gfra1
71,Hoxb8,Car5a,Mdh1,Styxl1,Angptl7,Dusp1,Klf2,Eef1a2,Rgs4,Aldh1l2,Fbxo47,Styxl1,Dnm1,Odf3b,Aoc3,Apobec3,Ptk2b,Nhlh1,Ngfr,Olfml2a
72,Gprasp1,Hbb-bt,Habp4,Igkv8-30,Ifng,Sh3rf2,Il4i1,C4b,Mllt11,Mafb,Itgb1bp2,Trbv12-2,Itm2a,Ramp2,Gprc5c,Ucp2,Plcb2,Alox12b,S100a7a,Gpc3
73,Stxbp1,Snai1,Ccdc92,Akr1b7,Gnb3,Cnksr1,Hcls1,Nat8l,Cd24a,Rnf122,Krt18,Fbxo47,Stmn3,Sema7a,Gsg1,Nlrc5,Ptprc,Fbxo47,Ccdc40,Crispld2
74,Vat1l,Car3,Ptprs,Npffr1,S100a2,Trarg1,Lcp1,Rasal1,Uts2,Itgb4,Trbv12-2,Nhlh1,Scn1b,mt-Cytb,Ms4a6c,Mcl1,Sgk1,Kcne2,Col20a1,Lox
75,Pnck,Itgb1bp2,Mllt11,Slc6a16,Clec18a,Gapt,Samhd1,Tprn,Tmod1,Gpr37,Fcnb,Akr1b7,Slc7a5,Tagln2,Wnk4,H2-Q7,Stat1,Tmem74bos,H2-Q1,Plekha7
76,Stmn3,Akr1b7,Adgrb1,Gfy,Tmprss2,Ltf,Ets1,Fgfr3,Dffa,Prima1,Prr33,Igkv8-30,Habp4,Sod3,Ms4a4a,Akna,Slc15a3,Olfr273,Mlf1,Sec14l5
77,Grin1,Fam178b,Bcan,Slc17a7,Klhl40,Cfd,Hvcn1,Cabp7,Chat,Sh3bp2,Akr1b7,Pabpc1l,Haghl,Ccdc141,Lama4,H2-Ob,Fn1,Igkv8-30,Hbb-bt,Kcna1
78,Bex3,Trbv12-2,Dmtn,Atp1b4,Tbata,Olfr558,Lck,Rph3a,Map7d2,Serinc5,Fam178b,Olfr273,Gpr162,Slco1c1,Sdc1,H2-DMa,Zfp36,Trbv12-2,Sfrp4,Six5
79,Rogdi,Odf3,Chga,Syna,Klrb1a,Slc4a1,H2-M3,Spock2,Sv2c,Il33,Styxl1,Rhd,Plp1,Ly6a,Lrg1,Gpsm3,Cfh,Aldh3b2,Cd5l,Txnip
80,Pdcd7,Prr33,Snap47,Wfdc8,Il6,Abcc9,C3,Uchl1,Tspyl4,Tyrobp,Tmem74bos,Tmem74bos,Flt1,Ushbp1,H2-Q1,Lrmp,Klk6,Styxl1,Chrnb4,Col18a1
81,Dennd6b,Tmem74bos,Tmem59l,Slc30a2,Aox3,Gzma,Carmil2,Tril,Basp1,Msn,Clec4d,Ccl7,Syp,Ecrg4,Ttc6,Zfp36,Arhgap25,Fam178b,S100a2,Ngfr
82,Crocc,Alox12b,Pnkd,Pla2g4f,Nhlh1,Hist1h2ap,Ifi30,Fyn,Clstn3,Ptgds,Dmrt2,Cd109,Ngef,Iqgap1,Sfrp4,Nr2f2,Hcls1,Itgb1bp2,Gnb3,Adamts20
83,Gap43,Pabpc1l,Tubb3,Qrfprl,Igkv8-30,Ifi205,Akap13,Haghl,Klc2,Csf3r,Ntf3,Gpr182,Lfng,Apod,Lsp1,Lcp1,Sema4d,Pabpc1l,Klrb1a,Slc1a5
84,Aldoc,Henmt1,Camk2b,Clec4d,Pabpc1l,Lrrc36,H2-Q7,Ncdn,Aldoc,Cnksr3,Qrfprl,Slc17a7,Ntrk3,She,Dapl1,Txnip,Ccdc88b,Odf3,Klhl40,Ankfn1
85,Vgf,Krt18,Grin1,Sis,Prr33,Nos2,Limd2,Ndrg4,Olfm1,Rab37,Slc30a2,Cpa6,Stxbp1,Rasip1,Hbb-bt,Bin2,H2-M3,Prr33,Angptl7,Cavin1
86,Pitpnm1,Rhd,Stmn2,Mindy4b-ps,Akr1b7,Lrp2,Tapbp,Gpr37,Stxbp1,Gpr17,Slc6a16,Dmrt2,Col11a2,Ccdc153,Gpr182,Mgp,Cxcl16,Akr1b7,Plin1,Fbln5
87,Atp6v1g2,Olfr273,Map7d2,C1ql4,Kcne2,S100a7a,Col3a1,Mcam,Hapln4,Myoc,Ttc6,Slc30a2,Begain,Notch3,Cdkn1c,Msn,Cd37,Krt18,Clec18a,Ajuba
88,Nsg1,Kcne2,Rell2,Crct1,Trbv12-2,Rbm38,Atp2a3,Kcnc3,Rab3b,Plin4,Syna,Pla2g4f,Cend1,Fgd5,Ngp,Trbv16,Il21r,Rhd,Tbata,Wnt6
89,Lmtk3,Styxl1,Lrp1b,Dmrt2,Alox12b,H2-Q1,Gimap3,Atp1a1,Spp1,Hip1r,Crct1,Mindy4b-ps,Ndn,Adgrl4,Vwf,Acap1,Dennd1c,Fcnb,Tmprss2,Tcim
90,Car10,Nhlh1,Pvalb,Treml1,Fam178b,Mmp13,Vars,Apoe,Hcn2,Col13a1,Wfdc8,Slc6a16,Gpc5,Endog,S100a8,Dennd1c,Lcp1,Adh1,Il6,Sema3g
91,Clstn3,Igkv8-30,Rph3a,Ttc6,Aldh3b2,Chrnb4,Neurl3,Macf1,Slc18a3,Chn2,Slc17a7,Atp1b4,Lrp1b,Ier5,Col8a1,Prkcd,Bst2,Dmrt2,Ifng,Foxd1
92,Sgsm1,Aldh3b2,Kcnq2,Ntf3,Odf3,Cd5l,Tap1,Gpam,Sept5,Col16a1,Sis,Sis,Nfasc,Itga1,Clec10a,Il34,Prelp,Pla2g4f,Hba-a2,Tagln
93,Pcp4,Fcnb,Prepl,Cpa6,Henmt1,Clec18a,Snx2,Atp1a3,Mcam,Tmprss5,C1ql4,Clec4d,Sox2,Cfap65,Dpt,Cxcl16,Lilrb4a,Mindy4b-ps,Aldh3b2,Cadm3
94,Zcchc18,Rhbdl2,Map4k2,Prok1,Rhd,Tmprss2,Sema4d,Epb41l3,Syt4,Nkx2-2,Mindy4b-ps,Syna,Cabp1,Cfap44,Slc1a5,Cxcl12,Ier5,Crct1,Trbv12-2,Foxd3
95,Resp18,Oas3,Rogdi,Cdkn2a,Fbxo47,Angptl7,Ms4a1,Slc38a3,Prune2,Hspb8,Treml1,Wfdc8,Sh3gl2,Ttll3,Cenpe,S100a4,Cd53,Gfy,Akr1b7,Myo1c
96,Rab3a,Dmrt2,Unc13a,Slc26a7,Olfr273,Gnb3,Chst3,Gpr17,Ptgds,C1qc,Atp1b4,Crct1,Cldn5,Ttc21a,Zmynd15,Irf8,Vav1,Slc6a16,Kcne2,Slc6a13
97,Cabp1,Atp1b4,Syne1,Tdrd12,Krt18,Klrb1a,Prkd2,Dusp15,Ndn,Dusp15,Gfy,Npffr1,Aplp1,Gja4,Mmp13,Itgal,Hspb1,Slc17a7,Tmem74bos,Swap70
98,C1qtnf4,C1ql4,Iglon5,Trpv6,Tmem74bos,Il19,Ptprcap,Jun,Chodl,Unc93b1,Pla2g4f,Qrfprl,Sgms1,Clcn4,S100a9,Fyb,Cd72,Treml1,Henmt1,Rarres2
99,Kcnq2,Gfy,Hapln4,Urah,Styxl1,Tbata,Bank1,Mpzl1,Got1,Prelp,Npffr1,Ttc6,Vgf,Mapk15,C1qtnf3,Iqgap1,Syk,Clec4d,Nhlh1,Nbl1
100,Vstm2l,Slc6a16,Ywhah,Cnksr1,Itgb1bp2,Plin1,Rac2,Mdh1,Atp1b2,Prrt1,Cpa6,Ntf3,Scn8a,Ccdc30,Wfdc18,Nfkb2,Atf3,Qrfprl,Fbxo47,Ntn5
101,Celf3,Slc30a2,Ube2ql1,Serinc4,Map3k7cl,Ifng,Igfbp7,Lrp1b,Gfra1,Atp1a1,Gpr17,C1ql4,Rab3a,Wtip,Cnksr1,Akap13,Cxcl9,Ttc6,Rhd,Col6a3
102,Carmil3,Slc17a7,Syn1,Actg2,Ccl7,S100a2,Btla,Stmn2,Gpc1,Itgam,Cfap299,Gfy,Rell2,Jag2,Slc26a7,Stab1,Fmod,Syna,Prr33,Sema4g
103,Tac2,Npffr1,Pcp4,Ces2g,Cpa6,Il6,H2-DMa,Basp1,Calb2,Cd74,Efcab12,Treml1,Pvalb,Atp2b4,Sh3rf2,Swap70,Plcg2,Wfdc8,Igkv8-30,Islr
104,Syt7,Cpa6,Resp18,Hsf2bp,Atp1b4,Odf3,Grap,Stx1b,Snap47,Mpzl1,Nrk,Sstr4,Pcp4l1,Ccdc39,Thbs2,Gimap8,Snx20,Slc30a2,Itgb1bp2,Col27a1
105,Kcnc3,Syna,Aak1,Lrr1,Wfdc8,Alox12b,Srgn,Col11a2,Adam23,Mcam,Tdrd12,Nrk,Stmn2,Prelp,Matn2,Inpp5d,Itgax,C1ql4,Fcnb,Nr4a1
106,Ache,Treml1,Pnmal2,Sh3rf2,Dmrt2,Styxl1,Arhgef18,Gjb1,Rusc1,Gipr,Trpv6,Mroh8,Hif3a,Atp1b2,Wnt10b,Cd72,Themis2,Sis,Odf3,Hba-a2
107,Macf1,Wfdc8,Begain,Nrk,Ntf3,Akr1b7,Macf1,Ptch1,Lgi3,Fam222a,Prok1,Serinc4,Rasgrf1,Fam216b,Gfra3,Map4k1,Lrrk1,Npffr1,Pabpc1l,Serping1
108,Rnf112,Sis,Aplp1,Slpi,Qrfprl,Fcnb,Ptp4a3,Pnkd,Hspa12a,Rasal1,Lrr1,Cdkn2a,Cadm1,Car4,Cd300lg,Samhd1,Col9a3,Atp1b4,Styxl1,Lbp
109,Tmem145,Ttc6,Rusc1,Grpr,Syna,Trbv12-2,Ripor2,Plin4,Caln1,Asap3,Slc26a7,Sh3rf2,Nnat,Mcam,Camp,Itgb2,S100a4,Cpa6,Fam178b,Dgka
110,Chgb,Crct1,Macf1,Trim55,Mindy4b-ps,Henmt1,Glycam1,Atp1b1,Dnm1,Adamtsl1,Grpr,Ces2g,Gdpd2,Tmem212,Pheta2,Ccn2,Ifi30,Ntf3,Alox12b,Tmem40
111,Kcnc1,Qrfprl,Kcnab3,Syt8,Slc6a16,Fbxo47,Foxp1,Tnr,Reep2,Inpp5d,Serinc4,Cnksr1,Apcdd1,Nbl1,Igha,Ier5,Asap3,Trim55,Krt18,Bace2
112,Ywhah,Clec4d,Scrt1,Mroh8,Pla2g4f,Kcne2,Ikzf1,Ccdc92,Tesc,Foxj1,Mroh8,Slpi,Camk2b,Six5,Knl1,Traf3ip3,Ptpn18,Grpr,Olfr273,Iqgap2
113,Ppfia4,Ntf3,Dbn1,Nppb,Ttc6,Aldh3b2,Fchsd2,Chn2,Pcp4l1,Xaf1,Cdkn2a,Trim55,Ccdc92,Cfap69,Wnt16,Ctsh,Gbp2,Nrk,Crct1,Mfap3l
114,Caly,Pla2g4f,Pacsin1,Olfr267,Sis,Olfr273,Nfkb2,Paqr6,Dmtn,Sema6a,Cnksr1,Actg2,Pcp4,Syngap1,Adgrg2,Cyth4,H2-Q7,Cnksr1,Sis,Tbx2
